epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,456.128,1.4108,2.71201,1.27089,0.00336,0.92414,0.06525,0.02581,1.39315,3.9242,1.35503,0.00064,0.00064,0.00064
2,877.161,1.42977,1.83023,1.24571,0.87532,0.48418,0.62624,0.33711,1.49861,2.95692,1.41674,0.00128713,0.00128713,0.00128713
3,1278.58,1.49756,1.64293,1.27694,0.68016,0.49865,0.54979,0.3021,1.64625,2.43432,1.62261,0.00192119,0.00192119,0.00192119
4,1702.99,1.51635,1.55212,1.29118,0.61931,0.51611,0.46297,0.22319,1.67779,2.29642,1.61699,0.0019406,0.0019406,0.0019406
5,2077.7,1.44545,1.33732,1.25733,0.72559,0.76588,0.76509,0.41285,1.58781,1.41813,1.48192,0.0019208,0.0019208,0.0019208
6,2415.52,1.47472,1.25715,1.28141,0.75519,0.72414,0.79075,0.4117,1.5624,1.45329,1.46917,0.001901,0.001901,0.001901
7,2787.77,1.43548,1.1862,1.27842,0.68098,0.71034,0.67235,0.37979,1.49392,2.03374,1.37241,0.0018812,0.0018812,0.0018812
8,3196.52,1.40235,1.08429,1.2168,0.7363,0.73176,0.74608,0.34872,1.75272,1.38401,1.52084,0.0018614,0.0018614,0.0018614
9,3581.95,1.40519,1.06802,1.24063,0.8757,0.7288,0.82358,0.4395,1.50267,1.19888,1.29321,0.0018416,0.0018416,0.0018416
10,3922.35,1.37648,0.972,1.24698,0.92147,0.77931,0.86832,0.47764,1.48442,1.18366,1.34535,0.0018218,0.0018218,0.0018218
11,4260.16,1.34758,0.94705,1.17513,0.87093,0.8,0.85602,0.4788,1.3276,1.26687,1.26174,0.001802,0.001802,0.001802
12,4584.82,1.3784,0.93529,1.19873,0.84253,0.77492,0.83375,0.44089,1.49077,1.38106,1.34836,0.0017822,0.0017822,0.0017822
13,4914.55,1.36994,0.93682,1.21034,0.85396,0.84828,0.8686,0.44984,1.5402,0.97053,1.32827,0.0017624,0.0017624,0.0017624
14,5234.8,1.34173,0.89001,1.20712,0.86104,0.85469,0.8967,0.48141,1.56476,0.87235,1.38467,0.0017426,0.0017426,0.0017426
15,5559.36,1.37676,0.8707,1.19692,0.89167,0.82069,0.90478,0.50794,1.53062,0.86027,1.35691,0.0017228,0.0017228,0.0017228
16,5884.28,1.29566,0.84231,1.20168,0.90986,0.77931,0.86336,0.46169,1.57702,0.88629,1.40729,0.001703,0.001703,0.001703
17,6219.29,1.32504,0.85468,1.19861,0.93689,0.8,0.89151,0.49254,1.42354,0.88185,1.29148,0.0016832,0.0016832,0.0016832
18,6567.04,1.31746,0.83332,1.19433,0.88728,0.81433,0.89263,0.51033,1.4306,0.87052,1.31008,0.0016634,0.0016634,0.0016634
19,6903.59,1.28338,0.7957,1.17259,0.93893,0.73103,0.87126,0.44555,1.65788,1.07905,1.48821,0.0016436,0.0016436,0.0016436
20,7239.32,1.37965,0.81876,1.21693,0.83863,0.77241,0.85612,0.48205,1.47613,0.91374,1.35416,0.0016238,0.0016238,0.0016238
21,7567.66,1.31692,0.818,1.18715,0.84655,0.79897,0.86569,0.48661,1.4902,0.90838,1.36779,0.001604,0.001604,0.001604
22,7907.3,1.28454,0.80428,1.1717,0.84545,0.83002,0.88062,0.49726,1.42122,0.87566,1.33434,0.0015842,0.0015842,0.0015842
23,8240.58,1.32375,0.78596,1.19952,0.87385,0.82069,0.86912,0.53242,1.33064,0.80787,1.30906,0.0015644,0.0015644,0.0015644
24,8556.46,1.29167,0.76517,1.17088,0.91062,0.84317,0.90745,0.52349,1.4503,0.80884,1.32611,0.0015446,0.0015446,0.0015446
25,8886.65,1.28723,0.77285,1.16364,0.82786,0.82759,0.88108,0.50473,1.40371,0.89183,1.30656,0.0015248,0.0015248,0.0015248
26,9215.49,1.25064,0.76382,1.17029,0.85523,0.85557,0.89673,0.51524,1.38473,0.82058,1.32286,0.001505,0.001505,0.001505
27,9537.26,1.22357,0.75397,1.16855,0.84141,0.86897,0.88808,0.50801,1.38015,0.84257,1.319,0.0014852,0.0014852,0.0014852
28,9858.93,1.25615,0.73136,1.14299,0.89664,0.83759,0.90112,0.52039,1.40962,0.78589,1.30424,0.0014654,0.0014654,0.0014654
29,10188,1.2031,0.71302,1.13671,0.96119,0.85398,0.92212,0.55923,1.31137,0.78369,1.25453,0.0014456,0.0014456,0.0014456
30,10512.6,1.22069,0.71931,1.14332,0.9181,0.7731,0.88735,0.53725,1.36495,0.80507,1.22282,0.0014258,0.0014258,0.0014258
31,10836.6,1.21295,0.70625,1.1116,0.85306,0.84138,0.90114,0.52497,1.35974,0.76014,1.27769,0.001406,0.001406,0.001406
32,11150.2,1.20555,0.70505,1.12467,0.86594,0.89096,0.90571,0.5305,1.36966,0.75325,1.27656,0.0013862,0.0013862,0.0013862
33,11469,1.20481,0.70307,1.12921,0.88162,0.87586,0.89956,0.54456,1.35125,0.75145,1.23874,0.0013664,0.0013664,0.0013664
34,11846.6,1.20562,0.71713,1.12545,0.90659,0.8,0.89207,0.55778,1.30286,0.73795,1.23421,0.0013466,0.0013466,0.0013466
35,12181.9,1.1935,0.67287,1.1198,0.9085,0.84828,0.91163,0.55025,1.322,0.70079,1.30035,0.0013268,0.0013268,0.0013268
36,12546.7,1.17705,0.6636,1.12945,0.91324,0.85517,0.90984,0.53386,1.3657,0.79656,1.27978,0.001307,0.001307,0.001307
37,12884.6,1.1679,0.65834,1.11524,0.87856,0.89808,0.92164,0.54514,1.35474,0.73254,1.28444,0.0012872,0.0012872,0.0012872
38,13207.9,1.18423,0.65933,1.13754,0.91167,0.84828,0.91922,0.53327,1.40683,0.77284,1.30293,0.0012674,0.0012674,0.0012674
39,13532.1,1.15929,0.66716,1.12314,0.90904,0.78621,0.88576,0.5395,1.3708,0.78326,1.30464,0.0012476,0.0012476,0.0012476
40,13867.5,1.18052,0.66385,1.14066,0.85975,0.88784,0.91797,0.53583,1.39404,0.76489,1.30131,0.0012278,0.0012278,0.0012278
41,14202,1.13525,0.64987,1.09729,0.89717,0.81379,0.88275,0.47256,1.49231,0.82141,1.34056,0.001208,0.001208,0.001208
42,14518.8,1.13904,0.64046,1.09835,0.95945,0.81583,0.91513,0.53741,1.37421,0.7857,1.28483,0.0011882,0.0011882,0.0011882
43,14828.4,1.11106,0.62285,1.09788,0.87835,0.89628,0.92694,0.54374,1.38313,0.69777,1.29613,0.0011684,0.0011684,0.0011684
44,15174.1,1.11327,0.63031,1.09413,0.91296,0.88276,0.92384,0.54362,1.3625,0.69159,1.3127,0.0011486,0.0011486,0.0011486
45,15505,1.15646,0.64458,1.10024,0.90041,0.873,0.92404,0.55693,1.32993,0.67536,1.24956,0.0011288,0.0011288,0.0011288
46,15819.5,1.15842,0.65639,1.11561,0.91526,0.89655,0.93047,0.55802,1.29669,0.67431,1.25365,0.001109,0.001109,0.001109
47,16132.4,1.11997,0.62268,1.09502,0.90623,0.8665,0.91846,0.55715,1.32374,0.71222,1.23753,0.0010892,0.0010892,0.0010892
48,16451.7,1.09392,0.62409,1.09793,0.94013,0.86641,0.92738,0.5783,1.25685,0.65616,1.23978,0.0010694,0.0010694,0.0010694
